source,target,weight,Type
537,3073,47,Undirected
537,1740,35,Undirected
537,1745,40,Undirected
537,1894,16,Undirected
537,2131,121,Undirected
537,3107,105,Undirected
537,2503,18,Undirected
537,2531,28,Undirected
537,3115,86,Undirected
536,1661,14,Undirected
536,3029,135,Undirected
536,1014,29,Undirected
536,994,19,Undirected
536,5066,16,Undirected
536,3115,148,Undirected
536,2081,11,Undirected
536,2087,8,Undirected
536,3111,25,Undirected
536,2531,38,Undirected
536,2535,16,Undirected
536,1133,40,Undirected
536,2149,17,Undirected
536,1879,17,Undirected
536,3085,14,Undirected
536,3119,40,Undirected
536,3882,18,Undirected
536,751,22,Undirected
536,5214,12,Undirected
536,770,54,Undirected
536,773,22,Undirected
536,2524,48,Undirected
536,3128,14,Undirected
536,1021,22,Undirected
536,2147,24,Undirected
536,2142,93,Undirected
536,60,79,Undirected
536,64,35,Undirected
536,65,157,Undirected
536,67,107,Undirected
536,736,11,Undirected
536,738,52,Undirected
536,3727,10,Undirected
536,3916,12,Undirected
536,3918,11,Undirected
536,5064,21,Undirected
536,3044,14,Undirected
536,260,12,Undirected
536,3038,54,Undirected
536,70,39,Undirected
536,759,101,Undirected
536,3073,72,Undirected
536,722,39,Undirected
536,1894,21,Undirected
536,1891,27,Undirected
536,2136,74,Undirected
536,2131,211,Undirected
536,3107,197,Undirected
536,3100,37,Undirected
536,2139,282,Undirected
536,2503,30,Undirected
531,2858,15,Undirected
531,1014,51,Undirected
531,3099,96,Undirected
531,2142,135,Undirected
531,1887,13,Undirected
531,1886,17,Undirected
531,3119,60,Undirected
531,3115,228,Undirected
531,2535,21,Undirected
531,4868,8,Undirected
531,2152,14,Undirected
531,4482,9,Undirected
531,2136,121,Undirected
531,4048,13,Undirected
531,1432,10,Undirected
531,1661,17,Undirected
531,1006,13,Undirected
531,1005,19,Undirected
531,3085,24,Undirected
531,2622,10,Undirected
531,18,12,Undirected
531,5214,21,Undirected
531,3111,48,Undirected
531,770,79,Undirected
531,773,26,Undirected
531,3387,9,Undirected
531,70,63,Undirected
531,2531,80,Undirected
531,2524,105,Undirected
531,3128,17,Undirected
531,3129,12,Undirected
531,3126,18,Undirected
531,1316,10,Undirected
531,5066,22,Undirected
531,2139,488,Undirected
531,121,20,Undirected
531,2147,35,Undirected
531,2149,15,Undirected
531,781,9,Undirected
531,4058,11,Undirected
531,3619,26,Undirected
531,64,48,Undirected
531,65,280,Undirected
531,67,197,Undirected
531,736,17,Undirected
531,1891,47,Undirected
531,3916,17,Undirected
531,3918,14,Undirected
531,3107,301,Undirected
531,5064,32,Undirected
531,3044,12,Undirected
531,3073,129,Undirected
531,263,16,Undirected
531,260,23,Undirected
531,3038,99,Undirected
531,2490,40,Undirected
531,114,27,Undirected
531,1986,10,Undirected
531,1980,16,Undirected
531,751,32,Undirected
531,750,52,Undirected
531,754,16,Undirected
531,759,172,Undirected
531,1021,41,Undirected
531,722,69,Undirected
531,1740,79,Undirected
531,1894,34,Undirected
531,3735,10,Undirected
531,3100,61,Undirected
531,3103,19,Undirected
2992,3256,31,Undirected
2992,2137,10,Undirected
3724,2142,15,Undirected
3724,3029,33,Undirected
3724,60,16,Undirected
3724,65,25,Undirected
3724,67,23,Undirected
3724,2131,39,Undirected
3724,3107,29,Undirected
3724,2139,52,Undirected
3724,3115,26,Undirected
3817,3256,18,Undirected
3819,3256,14,Undirected
306,3247,20,Undirected
4923,3247,22,Undirected
4923,3265,25,Undirected
4923,3266,28,Undirected
4923,3249,24,Undirected
307,3256,11,Undirected
227,3256,18,Undirected
225,3247,13,Undirected
225,3266,18,Undirected
4922,3256,24,Undirected
2503,3387,8,Undirected
2503,1014,18,Undirected
2503,2139,134,Undirected
2503,3115,65,Undirected
2503,3081,48,Undirected
2503,750,17,Undirected
2503,770,26,Undirected
2503,773,15,Undirected
2503,2142,45,Undirected
2503,730,35,Undirected
2503,1891,16,Undirected
2503,3038,34,Undirected
2503,65,79,Undirected
2503,67,52,Undirected
2503,751,13,Undirected
2503,759,56,Undirected
2503,1894,14,Undirected
2503,2136,27,Undirected
2503,3107,81,Undirected
5041,4943,11,Undirected
4995,4967,11,Undirected
3250,2137,15,Undirected
3256,3552,9,Undirected
3256,1791,14,Undirected
3256,308,10,Undirected
3256,2988,10,Undirected
3256,3021,25,Undirected
3256,3060,10,Undirected
3256,1834,9,Undirected
3256,1835,12,Undirected
3256,934,10,Undirected
3256,4544,11,Undirected
3256,4546,10,Undirected
3256,218,10,Undirected
3256,1824,15,Undirected
3256,1822,24,Undirected
3256,925,9,Undirected
3256,3001,19,Undirected
3256,3003,12,Undirected
3256,3844,7,Undirected
3256,353,11,Undirected
3256,351,16,Undirected
3256,1782,22,Undirected
3256,1787,19,Undirected
3256,301,20,Undirected
3256,3178,22,Undirected
3256,222,15,Undirected
3256,220,13,Undirected
3256,4921,10,Undirected
3256,4925,9,Undirected
3256,4924,28,Undirected
3029,4048,23,Undirected
3029,1661,22,Undirected
3029,569,15,Undirected
3029,2542,8,Undirected
3029,525,197,Undirected
3029,1014,63,Undirected
3029,1877,34,Undirected
3029,1887,15,Undirected
3029,1886,19,Undirected
3029,1005,18,Undirected
3029,2129,13,Undirected
3029,2081,12,Undirected
3029,3111,65,Undirected
3029,2535,34,Undirected
3029,2154,10,Undirected
3029,2152,16,Undirected
3029,3091,8,Undirected
3029,4482,10,Undirected
3029,2136,143,Undirected
3029,610,13,Undirected
3029,1655,9,Undirected
3029,3155,22,Undirected
3029,1432,12,Undirected
3029,1006,14,Undirected
3029,4943,11,Undirected
3029,3081,228,Undirected
3029,2622,12,Undirected
3029,3085,29,Undirected
3029,18,12,Undirected
3029,3905,14,Undirected
3029,751,47,Undirected
3029,5214,30,Undirected
3029,4765,8,Undirected
3029,759,229,Undirected
3029,770,115,Undirected
3029,773,39,Undirected
3029,70,79,Undirected
3029,3719,27,Undirected
3029,2524,134,Undirected
